Features,المميزات
You have successfully logged in using your %1 account.,لقد قمت بتسجيل الدخول بنجاح باستخدام حسابك %1.
The shipping method is missing. Select the shipping method and try again,طريقة الشحن مفقودة. حدد طريقة الشحن وحاول مرة أخرى
Comments:,تعليقات:
The shipping method is missing.,طريقة الشحن مفقودة.
Select the shipping method and try again.,حدد طريقة الشحن وحاول مرة أخرى.
The shipping method is missing. Select the shipping method and try again.,طريقة الشحن مفقودة. حدد طريقة الشحن وحاول مرة أخرى.
Previous,السابق
%1 Comment(s),%1 تعليق(تعليقات)
Highlights,أبرز النقاط
edit,تعديل
This email address is already subscribed.,عنوان البريد الإلكتروني هذا مشترك بالفعل.
You submitted your review for moderation.,لقد أرسلت مراجعتك للإشراف.
Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.,يجب أن يكون الحد الأدنى لطول هذا الحقل مساوياً أو أكبر من %1 رمزاً. سيتم تجاهل المسافات البادئة والنهائية..
Thank you for registering with %1,شكرا للتسجيل في %1
No New Notification,لا توجد إشعارات جديدة
Order Paid #%3,تم دفع الطلب #%3
In Progress,قيد المعالجة
%1 items,%1 عناصر
A customer with the same email address already exists in an associated website.,يوجد عميل بنفس عنوان البريد الإلكتروني بالفعل في موقع مرتبط.
Products you might like!,منتجات قد تعجبك!
Show Password,إظهار كلمة المرور
Login with an existing account,تسجيل الدخول بحساب موجود
Create New Customer Account,إنشاء حساب عميل جديد
Something went wrong,حدث خطأ ما
Login with Email,تسجيل الدخول بالبريد الإلكتروني
Login with Mobile,تسجيل الدخول بالهاتف المحمول
Notes,ملاحظات
VAT Number,الرقم الضريبي
Street Name,الشارع
Building Number,رقم المبني
Please select a township.,يرجى اختيار بلدة.
No payment method selected,لم يتم اختيار طريقة الدفع
Attention,انتباه
Added,تمت الإضافة
ADDED,تمت الإضافة
Kg,كغ
Order Comment,ملاحظة حول الطلب
Grand Total (Excl.Tax),الاجمالي بدون الضريبة
Grand Total (Incl.Tax),الاجمالي شامل الضريبة
About this item,حول هذه السلعة
Buy Now,اشترِ الآن
Paying off,الدفع
Your transaction is secure,معاملتك آمنة
Delivery by,التوصيل بواسطة
Sold by,يباع من
"Split into 4 payments of %s/month (with service charges included)","قسّط على 4 دفعات بمبلغ  %s /شهرياً (شاملاً رسوم الخدمة)"
"Have an account?","هل لديك حساب؟"
"Register","إنشاء حساب"
"Allow remote shopping assistance","السماح بالمساعدة في التسوق عن بعد"
This allows merchants to "see what you see" and take actions on your behalf in order to provide better assistance.,هذا يتيح للتجار "رؤية ما تراه" واتخاذ إجراءات نيابة عنك من أجل توفير مساعدة أفضل.
"Back to Home","العودة إلى الصفحة الرئيسية"
"Please check the mobile number you have entered.","من فضلك تحقق من رقم الهاتف الذي أدخلته."
"For delivery questions","لأسئلة التوصيل"
"Your mobile number is not valid.","رقم هاتفك غير صالح."
"Order details:","تفاصيل الطلب:"
"Order Date:","تاريخ الطلب:"
"A text message with a %1-digit verification code has been sent to %2","تم إرسال رسالة نصية تحتوي على رمز تحقق مكون من %1 أرقام إلى %2"
"Provided Zip/Postal Code seems to be invalid.","يبدو أن الرمز البريدي المقدم غير صالح."
" Example: "," مثال: "
"If you believe it is the right one you can ignore this notice.","إذا كنت تعتقد أنه الرمز الصحيح يمكنك تجاهل هذا الإشعار."
"Out of stock","غير متوفر"
"Learn More","المزيد"
"We found other products you might like!","لقد وجدنا منتجات أخرى قد تعجبك!"
"More Choices:","خيارات إضافية:"
"New Products","منتجات جديدة"
"Check items to add to the cart or","حدد العناصر لإضافتها إلى السلة أو"
"select all","حدد الكل"
"Shop By","تسوق حسب"
"Clear All","مسح الكل"
"Shopping Options","خيارات التسوق"
"All Categories","جميع الفئات"
"Have no posts.","لا توجد منشورات."
Author:,الكاتب:
%1,%1
"Published in:","نُشر في:"
"Tags: ","علامات: "
"Share on ","مشاركة علي "
"* Required Fields","* الحقول المطلوبة"
"Leave A Reply","اترك تعليقاً"
Content,المحتوى
"Submit Comment","إرسال التعليق"
"You must be logged in to post a comment.","يجب أن تكون مسجلاً الدخول لنشر تعليق."
"Click here","انقر هنا"
"to log in","لتسجيل الدخول"
"Leave a reply","اترك تعليقاً"
"Load More Comment","تحميل المزيد من التعليقات"
Categories,الفئات
Tags,العلامات
"Featured Brands","العلامات التجارية المميزة"
"%1 ","%1 "
Products,المنتجات
"Related Products By Brand","منتجات ذات صلة حسب العلامة التجارية"
"View Detail","عرض التفاصيل"
"Add to Wish List","أضف إلى قائمة الرغبات"
"View All","عرض الكل"
"Have no brands.","لا توجد علامات تجارية."
0-9,0-9
"Search Brand","ابحث عن علامة تجارية"
"Search brand here...","ابحث عن العلامة التجارية هنا..."
Reset,إعادة تعيين
"There are no brands matching the selection.","لا توجد علامات تجارية تطابق الاختيار."
Video,فيديو
"Select Block","حدد الكتلة"
"Static Content","المحتوى الثابت"
Heading,عنوان
"Text content & Images","المحتوى النصي والصور"
Images,صور
"OWL Carousel Slider","عارض الصور OWL"
"Masonry Gallery","التنسيق الشبكي للمعرض"
"Promo Banner","بانر ترويجي"
Profile,الملف الشخصي
Accordion,لوحة قابلة للطي
"Google Map","خرائط جوجل"
"Content Box","مربع محتوى"
"Counter Box","مربع العداد"
"Countdown Box","مربع العد التنازلي"
Chart,رسم بياني
"Progress Bar","شريط التقدم"
"Progress Circle","دائرة التقدم"
Divider,فاصل
List,قائمة
Button,زر
Table,جدول
Tabs,علامات تبويب
"Modal Popup","نافذة منبثقة"
Form,نموذج
Catalog,كتالوج
"Category List","قائمة الفئات"
"Category Products","منتجات الفئة"
"Products by Attribute","المنتجات حسب السمة"
"Sale Products","المنتجات المخفضة"
"Top Rate Products","المنتجات الأعلى تقييمًا"
Deals,صفقات
"Special Deal","صفقة مميزة"
"Product Tabs","علامات تبويب المنتج"
"Single Product","منتج فردي"
Social,اجتماعي
"Facebook Fanbox","صندوق معجبين فيسبوك"
"Twitter Timeline","جدول زمني تويتر"
Instagram,إنستجرام
"Instagram Shop","متجر إنستجرام"
Extensions,الملحقات
Lookbook,كتاب البحث
"Lookbook Slider","عارض كتاب البحث"
"Latest Post","أحدث منشور"
Portfolio,ملف الأعمال
Testimonial,شهادة
"Products by Attribute Block","المنتجات حسب كتلة السمة"
"Product Config","إعداد المنتج"
Attribute,سمة
"Choose an attribute","اختر سمة"
"Number of product to display","عدد المنتجات المعروضة"
"Items per row (default)","العناصر لكل صف (افتراضي)"
"Items per row (tablet)","عدد العناصر لكل صف (الأجهزة اللوحية)"
"Items per row (mobile)","العناصر لكل صف (الهاتف المحمول)"
"Number col","عدد الأعمدة"
"Item per col","عدد العناصر لكل عمود"
"View mode","وضع العرض"
"Grid Ultra","شبكة فائقة"
Grid,شبكة
"Hide Product Name","إخفاء اسم المنتج"
"Hide Review","إخفاء المراجعة"
"Hide Price","إخفاء السعر"
"Hide Add to Cart","إخفاء أضف إلى السلة"
"Hide Add to Wishlist","إخفاء أضف إلي قائمة الرغبات"
"Hide Add to Compare","إخفاء أضف إلى المقارنة"
"Use slider","استخدام شريط التمرير"
Back,رجوع
General,عام
"Block col (12 to full)","عمود الكتلة (12 للعرض الكامل)"
"Custom Class","فئة مخصصة"
"Block Animation","رسوم متحركة للكتلة"
"Choose Animation Effect","اختر تأثير الرسوم المتحركة"
"Animation Delay","تأخير الرسوم المتحركة"
"Manage Images","إدارة الصور"
"Upload new Image","تحميل صورة جديدة"
"Manage Slide","إدارة الشريحة"
"Move Down","الانتقال لأسفل"
Image,صورة
Link,رابط
"Text (Html)","نص (HTML)"
"Text Position","موضع النص"
"Text Align","محاذاة النص"
Left,يسار
Center,منتصف
Right,يمين
"Text Animation","رسوم متحركة للنص"
"No Effect","بدون تأثير"
"Slide In Down","الانزلاق لأسفل"
"Slide In Up","الانزلاق لأعلى"
"Slide In Right","الانزلاق لليمين"
"Slide In Left","الانزلاق لليسار"
"Zoom In","تكبير"
"Zoom Out","تصغير"
"Add New Slide","إضافة شريحة جديدة"
"Slider Config","إعدادات شريط التمرير"
"Number of items on slide (default)","عدد العناصر في الشريحة (افتراضي)"
"Number of items on slide (tablet)","عدد العناصر في الشريحة (الأجهزة اللوحية)"
"Number of items on slide (mobile)","عدد العناصر في الشريحة (الموبايل)"
Preload,التحميل المسبق
"Height Preload","ارتفاع التحميل المسبق"
"Height Background Preload ( 500px, 25%, 50vh )","ارتفاع خلفية التحميل المسبق (500px, 25%, 50vh)"
"Margin right (on item)","الهامش الأيمن (على العنصر)"
RTL,من اليمين لليسار
"Full Height","الارتفاع الكامل"
"Auto play","التشغيل التلقائي"
"Auto play speed","سرعة التشغيل التلقائي"
"Stop autoplay on mouse hover","إيقاف التشغيل التلقائي عند التمرير بالماوس"
"Display navigation","عرض التنقل"
"Navigation position","موضع التنقل"
"Middle Inside","منتصف الداخل"
"Top Left","أعلى اليسار"
"Top Right","أعلى اليمين"
"Middle Outside","منتصف الخارج"
"Bottom Left","أسفل اليسار"
"Bottom Right","أسفل اليمين"
"Navigation top position","موضع التنقل العلوي"
"Auto hide navigation","إخفاء التنقل تلقائيًا"
"Display pagination","عرض الترقيم"
"Pagination position","موضع الترقيم"
Loop,تكرار
"Are you sure?","هل أنت متأكد؟"
"Please select an image","يرجى تحديد صورة"
"Please upload selected image first.","يرجى تحميل الصورة المحددة أولاً."
"Please choose file to upload.","يرجى اختيار ملف للتحميل."
"Choose File to Upload","اختر ملفًا للتحميل"
Upload,تحميل
"Special Deal Product Block","كتلة منتج العرض الخاص"
"Sub Title","العنوان الفرعي"
"Enter product name to search.","أدخل اسم المنتج للبحث."
"Time Text","نص الوقت"
"Template Style ","نمط القالب "
"Template Style 1","نمط القالب 1"
"Template Style 2","نمط القالب 2"
"Hide short description","إخفاء الوصف المختصر"
"Truncate short description","اختصار الوصف المختصر"
Masonry,التنسيق الشبكي
"Show Category Link","إظهار رابط الفئة"
"Discover More","اكتشف المزيد"
"There are no categories matching the selection.","لا توجد فئات مطابقة للاختيار."
"The product out of time deal special","المنتج خارج وقت العرض الخاص"
"SHOP NOW","تسوق الآن"
"Add to Compare","أضف إلى المقارنة"
"Save %1%","وفر  %1%"
"Shop Now","تسوق الآن"
"There are no products matching the selection.","لا توجد منتجات مطابقة للاختيار."
"<span class=""color-theme"">%1</span><span class=""color-date""> %2</span>","<span class=""color-theme"">%1</span><span class=""color-date""> %2</span>"
"Read more","اقرأ المزيد"
"We can't find post matching the selection.","لا يمكننا العثور على منشور مطابق للاختيار."
"There are no sliders matching the selection.","لا توجد شرائح مطابقة للاختيار."
"Can not get Instagram data or your instagram account have not any images.","لا يمكن الحصول على بيانات إنستجرام أو حسابك على إنستجرام ليس لديه أي صور."
"There are no portfolios matching the selection.","لا توجد محافظ مطابقة للاختيار."
Share:,شارك:
"Related Works","أعمال ذات صلة"
"Please config Google Map API","يرجى تكوين واجهة برمجة تطبيقات خرائط Google"
"Search by Area","البحث حسب المنطقة"
Country,الدولة
state,المحافظة
Zipcode,الرمز البريدي
"Search by Distance","البحث حسب المسافة"
Location,الموقع
"Street, City, State, Zipcode, Country","الشارع، المدينة، المحافظة، الرمز البريدي، الدولة"
Radius,النطاق
Kilomet,كيلومتر
"There are no stores.","لا توجد متاجر."
"Store List","قائمة المتاجر"
"Zip Code: %1","الرمز البريدي: %1"
"Phone: %1","الهاتف: %1"
"Phone: ","الهاتف: "
"View Map","عرض الخريطة"
"Show All Stores","عرض جميع المتاجر"
Address:,العنوان:
Email:,البريد الإلكتروني:
Fax:,الفاكس:
Website:,الموقع الإلكتروني:
"View All Store","عرض جميع المتاجر"
"Find Other Stores","ابحث عن متاجر أخرى"
"Opening Hours","ساعات العمل"
"Login Your Account","تسجيل الدخول إلى حسابك"
Forgot?,نسيت؟
"Create an account","إنشاء حساب"
"Remove This Item","إزالة هذا العنصر"
"View All Wish List","عرض كل قائمة الرغبات"
"You have no items in your wish list.","ليس لديك عناصر في قائمة الرغبات."
"Upsell Products","منتجات الترويج"
label,التسمية
Loading...,جارٍ التحميل...
"360 Deg","360 درجة"
"Apply Discount Code","تطبيق كود الخصم"
"Enter discount code","أدخل كود الخصم"
"Apply Discount","طبق الخصم"
Apply,تطبيق
"Cancel Coupon","إلغاء الكوبون"
"Update Cart","تحديث السلة"
"Your message","رسالتك"
"What’s on your mind?","ما الذي يدور في ذهنك؟"
"Send Message","إرسال الرسالة"
"Address %1 <span>of %2</span>","العنوان %1 <span>من %2</span>"
"Shipping To","الشحن إلى"
"Shipping Method","طريقة الشحن"
"Sorry, no quotes are available for this order right now.","عذرًا، لا توجد عروض أسعار متاحة لهذا الطلب في الوقت الحالي."
"Incl. Tax","شامل الضريبة"
"Excl. Tax","بدون الضريبة"
"Edit Items","تعديل العناصر"
"Product Name","اسم المنتج"
"Continue to Billing Information","الانتقال إلى معلومات الفواتير"
"Back to Select Addresses","العودة إلى اختيار العناوين"
"Start Searching...","ابدأ البحث..."
"Search here...","ابحث هنا..."
"You may also like","ربما يعجبك أيضًا"
"Featured Posts","المشاركات المميزة"
"This Wish List has no Items","قائمة الرغبات هذه لا تحتوي على عناصر"
"We can't find categories matching the selection.","لا يمكننا العثور على فئات مطابقة للاختيار."
"Cms Pages","صفحات CMS"
"We can't find cms pages matching the selection.","لا يمكننا العثور على صفحات CMS مطابقة للاختيار."
"We can't find posts matching the selection.","لا يمكننا العثور على منشورات مطابقة للاختيار."
Blogs,مدونات
"%1 Products","%1 منتجات"
Close,إغلاق
"Sign up Newsletter","الاشتراك في النشرة الإخبارية"
Subscribe,اشتراك
"Don't show this popup again","لا تظهر هذه النافذة المنبثقة مرة أخرى"
Publish,نشر
Customize,تخصيص
"Active CMS Builder","منشئ CMS النشط"
Days,أيام
Hours,الساعات
Mins,الدقائق
Secs,الثواني
Availability,التوفر
"Your Customization","تخصيصك"
"%1 x %2","%1 x %2"
"Please type the letters below","يرجى كتابة الحروف أدناه"
"Reload captcha","إعادة تحميل كلمة التحقق"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>تنبيه</strong>: كلمة التحقق حساسة لحالة الأحرف."
"Print This Page","طباعة هذه الصفحة"
"Compare Products","قارن المنتجات"
"Remove Product","إزالة المنتج"
Filter,تصفية
"Search Settings","إعدادات البحث"
"Shopping Cart Items","عناصر عربة التسوق"
Total,الإجمالي
"Continue Shopping","متابعة التسوق"
"Clear Shopping Cart","إفراغ عربة التسوق"
"See price before order confirmation.","اطلع على السعر قبل تأكيد الطلب."
"What's this?","ما هذا؟"
"My Cart","سلتي"
"Choose an Option...","اختر خيارًا..."
"All fields marked * are required","جميع الحقول المشار إليها بـ * مطلوبة"
"Address Book","دفتر العناوين"
"Default Billing Address","عنوان الفواتير الافتراضي"
"Edit your billing address","تحرير عنوان الفواتير الخاص بك"
"Default Shipping Address","عنوان الشحن الافتراضي"
"Account Information","معلومات الحساب"
"Contact Information","معلومات الاتصال"
Name:,الاسم:
"Edit your billing information","تحرير معلومات الفواتير الخاصة بك"
"You subscribe to ""General Subscription"".","أنت مشترك في ""الاشتراك العام""."
"You don't subscribe to our newsletter.","أنت غير مشترك في نشرتنا الإخبارية."
"Forgot Your Password","هل نسيت كلمة المرور"
"Please enter your email address below to receive a password reset link.","يرجى إدخال بريدك الإلكتروني أدناه لتلقي رابط إعادة تعيين كلمة المرور."
"Reset My Password","إعادة تعيين كلمة المرور"
"Go back","الرجوع"
Register,إنشاء حساب
"If you have an account, sign in with your email address.","إذا كان لديك حساب، قم بتسجيل الدخول باستخدام بريدك الإلكتروني."
or,أو
Mobile,الهاتف المحمول
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"Send Otp","إرسال رمز التحقق"
"Email Address","عنوان البريد الإلكتروني"
"This extra step shows it’s really you trying to sign in. Click to the button below to send an OTP to your phone number","هذه الخطوة الإضافية تُظهر أنك بالفعل تحاول تسجيل الدخول. اضغط على الزر أدناه لإرسال رمز التحقق إلى رقم هاتفك"
"Get OTP","احصل على رمز التحقق"
"A text message with a %1-digit verification code has been sent to","تم إرسال رسالة نصية تحتوي على رمز تحقق مكون من %1 أرقام إلى"
"Your OTP","رمز التحقق الخاص بك"
Verify,تحقق
"Resend after %1 seconds","إعادة الإرسال بعد %1 ثانية"
"Personal Information","المعلومات الشخصية"
"Sign Up for Newsletter","اشترك في النشرة الإخبارية"
"Address Information","معلومات العنوان"
"Phone Number","رقم الهاتف"
"Street Address %1","عنوان الشارع %1"
"Please select a region, state or province.","يرجى اختيار منطقة أو ولاية أو مقاطعة."
"Zip/Postal Code","الرمز البريدي"
"Sign-in Information","معلومات تسجيل الدخول"
"Password Strength","قوة كلمة المرور"
"No Password","لا توجد كلمة مرور"
"Confirm Password","تأكيد كلمة المرور"
"Create an Account","إنشاء حساب"
"You are signed out","تم تسجيل خروجك"
"You have signed out and will go to our homepage in 5 seconds.","لقد قمت بتسجيل الخروج وسيتم نقلك إلى صفحتنا الرئيسية خلال 5 ثوانٍ."
Currency,العملة
Newsletter,النشرة الإخبارية
"Sign Up for Our Newsletter:","اشترك في نشرتنا الإخبارية:"
Remember,تذكر
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","حدد "تذكرني" للوصول إلى عربة التسوق الخاصة بك على هذا الكمبيوتر حتى إذا لم تقم بتسجيل الدخول."
"Average Customer Rating","متوسط تقييم العملاء"
"Your Review","مراجعتك"
"Submitted on %1","تم تقديمه في %1"
"Back to My Reviews","العودة إلى مراجعاتي"
"Orders","الطلبات"
"Order #","رقم الطلب #"
"Ship To","الشحن إلى"
"Actions","الإجراءات"
"View Order","عرض الطلب"
"You have placed no orders.","لم تقم بعمل أي طلبات."
"Items Ordered","العناصر المطلوبة"
"Gift Message","رسالة الهدية"
"From","من"
"To","إلى"
"Recent Orders","الطلبات الأخيرة"
"View All Orders History","عرض جميع الطلبات"
"Remove Recipent","إزالة المستلم"
"Sender","المرسل"
"Invite","دعوة"
"Maximum %1 email addresses allowed.","يُسمح بحد أقصى %1 من عناوين البريد الإلكتروني."
"Add Invite","إضافة دعوة"
"Send Email","إرسال بريد إلكتروني"
"Language","اللغة"
"Items %1 to %2 of %3 total","العناصر من %1 إلى %2 من %3 إجمالي"
"%1 Item","%1 عنصر"
"Page","صفحة"
"You're currently reading page","أنت تقرأ حاليًا الصفحة"
"per page","لكل صفحة"
Menu,القائمة
"Original Price","السعر الأصلي"
"Requested Price","السعر المطلوب"
"Click to the button below to verify your phone number","اضغط على الزر أدناه للتحقق من رقم هاتفك"
"Type a vaild Phone Number to continue.","أدخل رقم هاتف صالحًا للمتابعة."
"Mobile Number","رقم الهاتف المحمول"
"OTP is sending ...","جارٍ إرسال رمز التحقق ..."
"Verify Error","خطأ في التحقق"
"Resend OTP","إعادة إرسال رمز التحقق"
"This is required field.","هذا الحقل مطلوب."
"Your mobile number is not verified.","لم يتم التحقق من رقم هاتفك المحمول."
"Verify Your Mobile Number","تحقق من رقم هاتفك المحمول"
"If you have a seller account already, please login to manage your store.","إذا كان لديك حساب بائع بالفعل، يرجى تسجيل الدخول لإدارة متجرك."
"Login to Seller Panel","تسجيل الدخول إلى لوحة البائع"
"items","أصناف"
"View and edit cart","عرض وتحرير عربة التسوق"
"Go to Checkout","الانتقال إلى الدفع"
"You have no items in your shopping cart.","ليس لديك أي عناصر في سلة التسوق الخاصة بك."
"See Details","انظر التفاصيل"
"Options Details","تفاصيل الخيارات"
"Update","تحديث"
"Edit item","تعديل العنصر"
"Remove item","إزالة العنصر"
"Recently added item(s)","العناصر المضافة مؤخرًا"
"View and Edit Cart","عرض وتحرير عربة التسوق"
"Item in Cart","عنصر في سلة التسوق"
"Proceed to Checkout","المتابعة إلى الدفع"
"Gift Message (optional)","رسالة الهدية (اختياري)"
"To:","إلى:"
"From:","من:"
"Message:","رسالة:"
"Sorry, something went wrong. Please try again later.","عذرًا، حدث خطأ ما. يرجى المحاولة مرة أخرى لاحقًا."
"All ","الكل "
"more","المزيد"
"Error","خطأ"
"The phone number entered is invalid.","رقم الهاتف الذي تم إدخاله غير صالح."
"Resend (%1)","إعادة الإرسال (%1)"
"Otp Verification","التحقق برمز التحقق"
"none","لا أحد"
"Overview","نظرة عامة"
"You have no items in your quote","ليس لديك أي عناصر في عرض الأسعار الخاص بك"
"Featured Products","المنتجات المميزة"
"Fullfilled By","تم التنفيذ بواسطة"
"Enter your comment","أضف تعليقك"
"Click ","انقر "
"<a href="https://multi.magento2.click/">here</a>","<a href="https://multi.magento2.click/">هنا</a>"
" to go to homepage."," للانتقال إلى الصفحة الرئيسية."
"Quotes Request","طلب عرض أسعار"
"تم حفظ العنوان بنجاح.","تم حفظت العنوان بنجاح."
"My Credit","رصيدي"
"Credit Balance","رصيد الائتمان"
"Your credit balance is:","رصيدك الائتماني هو:"
"You have no transaction.","لا توجد معاملات."
"Request RMA","طلب استرجاع"
"Create Request","انشاء طلب"
"استرجاع","رد"
"Escalate RMA","تصعيد طلب الاسترجاع"
"Request Type :","نوع الطلب :"
"Order ID :","رقم الطلب :"
"Create At :","تاريخ الإنشاء :"
"Reason :","السبب :"
"Package Opened :","تم فتح الطرد :"
"Status :","الحالة :"
"Refund Amount :","قيمة الاسترداد :"
"RMA Comments","تعليقات طلب الاسترجاع"
"RMA Items","عناصر طلب الاسترجاع"
"RMA Escalate","تصعيد طلب الاسترجاع"
"Reply","رد"
"«Back to My Rma","«العودة إلى طلب الاسترجاع الخاص بي"
"RMA dont have escalate","لا يوجد تصعيد لطلب الاسترجاع"
"New Request","طلب جديد"
"Request Information","معلومات الطلب"
"---Select an order---","---اختر طلبًا---"
"at ","في "
"Request Type","نوع الطلب"
"Package Opened","تم فتح الطرد"
"--- Select an Type ---","--- اختر نوعًا ---"
"Replace","استبدال"
"--- Select an Reason ---","--- اختر سببًا ---"
"Metal Detectors","كاشفات المعادن"
"It's the wrong type","النوع خاطئ"
"It's broken","تالف"
"Faulty","معيب"
"I've changed my mind","غيرت رأيي"
"Other Reason","سبب آخر"
"Shipment Tracking Number","رقم تتبع الشحنة"
"Allow Extension : ","السماح بالتمديد :"
"Submit RMA","إرسال طلب الاسترجاع"
"Qty RMA","كمية طلب الاسترجاع"
"Not available for creating RMA.","غير متاح لإنشاء طلب استرجاع."
"An item is not available for creating RMA when the order is not paid or there is an open RMA created for that item already.","العنصر غير متاح لإنشاء طلب استرجاع إذا لم يتم دفع الطلب أو كان هناك طلب استرجاع مفتوح بالفعل لهذا العنصر."
"--- Select Refund Amount ---","--- اختر قيمة الاسترداد ---"
"Full Amount","المبلغ الكامل"
"Custom Amount","مبلغ مخصص"
"You must select item RMA","يجب اختيار عنصر طلب الاسترجاع"
"You saved request","تم حفظ الطلب"
"Escalate","تصعيد"
"Submit Escalate","إرسال التصعيد"
"The RMA request is escalated, please wait for the other party's response","تم تصعيد طلب الاسترجاع، يرجى انتظار رد الطرف الآخر"
"Print RMA","طباعة طلب الاسترجاع"
"RMA ID #","رقم طلب الاسترجاع"
"Rating","تقييم"
"My Wishlist","قائمة الرغبات الخاصة بي"
"Quotes Search","بحث العروض"
"Proposal Sent","تم إرسال العرض"
"Proposal Rejected","تم رفض العرض"
"As low as","ابتداءً من"
"Quote was updated.","تم تحديث عرض الأسعار."
"Do you have a general remark with this quote request?","هل لديك ملاحظة عامة على طلب عرض الأسعار هذا؟"
"Telephone","الهاتف"
"Submit Quote Request","إرسال طلب عرض الأسعار"
"Date Created","تاريخ الإنشاء"
"We'll email you a quote confirmation with details and tracking info.","سنرسل إليك بريدًا إلكترونيًا يتضمن تأكيد عرض الأسعار مع التفاصيل ومعلومات التتبع."
"Your quote number is: %1.","رقم عرض الأسعار الخاص بك هو: %1."
"Enter your destination to get a shipping estimate.","أدخل وجهتك للحصول على تقدير الشحن."
"admin","مسئول"
"Blog by MGS","مدونة بواسطة MGS"
"See All","عرض الكل"
"Search review: ","بحث في المراجعات: "
"Sort review by: ","ترتيب المراجعات حسب: "
"Helpful","مفيد"admin
"Average Rating Percent","متوسط نسبة التقييم"
"There are ","هناك "
" of "," من "
" people found this helpful."," أشخاص وجدوا هذا مفيدًا."
"By User","بواسطة المستخدم"
"Report Abuse","الإبلاغ عن إساءة"
"Was this review helpful?","هل كان هذا التقييم مفيدًا؟"
"Posted on","تم النشر في"
"Your Rating","تقييمك"
"What I like about this product","ما يعجبني في هذا المنتج"
"What I do not like about this product","ما لا يعجبني في هذا المنتج"
"Review Images","صور التقييم"
"Proposal on Hold","العرض معلق"
"Proposal Expired","انتهت صلاحية العرض"
"Proposal Cancelled","تم إلغاء العرض"
"Proposal Accepted","تم قبول العرض"
"Could not apply coupon code","لا يمكن تطبيق كود القسيمة"
"My Credit (%1)","رصيدي (%1)"
"My Credit","رصيدي الائتماني"
"Credit Value","قيمة الائتمان"
"You have to login to use this action","يجب عليك تسجيل الدخول لاستخدام هذا الإجراء"
"Max credit you can use: %1","أقصى ائتمان يمكنك استخدامه: %1"
"Customer Id is not valid","معرف العميل غير صالح"
"Admin Add Credit","إضافة ائتمان للمشرف"
"Amout is not set in %1 on line %2" ,"المبلغ غير محدد في %1 في السطر %2"
"Admin add %1 credits to your credit account.","المشرف يضيف %1 ائتمان إلى حسابك"
"Admin Subtract Credit","طرح الائتمان من قبل المشرف"
"Amout is not set in %1 on line %2","المبلغ غير محدد في %1 في السطر %2"
"Admin subtract %1 credits from your credit account.","المشرف يطرح %1 ائتمان من حسابك"
"Buy Credit","شراء ائتمان"
"Amout is not set in %1 on line %2","المبلغ غير محدد في %1 في السطر %2"
"Buy %1 credits from store","شراء %1 ائتمان من المتجر"
"Order Refunded by Credit","تم استرداد الطلب بواسطة الائتمان"
"Amout is not set in %1 on line %2","المبلغ غير محدد في %1 في السطر %2"
"Order refunded #%1, Creditmemo #%2","تم استرداد الطلب #%1، Creditmemo #%2"
"Order refunded #%1, Creditmemo #%2","تم استرداد الطلب #%1، Creditmemo #%2"
"Spend Credit","إنفاق الائتمان"
"Amout is not set in %1 on line %2","المبلغ غير محدد في %1 في السطر %2"
"Spent credit on order #%1, invoice #%2","تم إنفاق الائتمان على الطلب #%1، الفاتورة #%2"
"Spent credit on order #%1, invoice #%2","تم إنفاق الائتمان على الطلب #%1، الفاتورة #%2"
"Credit Value","قيمة الائتمان"
"Store Credit","ائتمان المتجر"
"Credit Accounts","حسابات الائتمان"
"Credit Products","منتجات الائتمان"
"Credit Transactions","المعاملات الائتمانية"
"Settings","الإعدادات"
"Credit Balance","رصيد الائتمان"
"Other customers (%1)","عملاء آخرون (%1)"
"Transaction Id","معرف المعاملة"
"Store Credit (%1)","ائتمان المتجر (%1)"
"Refunded to Store Credit","تم استرداده إلى ائتمان المتجر"
"ALL GROUPS","جميع المجموعات"
"Add Price","إضافة السعر"
"Add Credit Product","إضافة منتج ائتمان"
"Manage Credit Accounts","إدارة حسابات الائتمان"
"Credit Dashboard","لوحة الائتمان"
"Manage Credit Products","إدارة منتجات الائتمان"
"Manage Credit Transactions","إدارة المعاملات الائتمانية"
"Cart %1 doesn't contain products","سلة التسوق %1 لا تحتوي على منتجات"
"You need to login to use this action","يجب عليك تسجيل الدخول لاستخدام هذا الإجراء"
"You can't apply the amount which is greater than your credit balance","لا يمكنك تطبيق المبلغ الذي يزيد عن رصيد الائتمان الخاص بك"
"Could not apply credit","تعذر تطبيق الائتمان"
"Could not remove credit","تعذر إزالة الائتمان"
"Credit Account is not set in %1 on line %2","لم يتم تعيين حساب الائتمان في %1 في السطر %2"
"'From' value of Store Credit must be set '%1'", "يجب تعيين قيمة 'من' الائتمان المخزني '%1'"
"'To' value of Store Credit must be set '%1'", "يجب تعيين قيمة 'إلى' الائتمان المخزني '%1'"
"Store Credit Value must be set '%1'", "يجب تعيين قيمة الائتمان المخزني '%1'"
